k,topic,orig_x,orig_y,cluster
20,0,-0.00884856731766716,-0.016046211768566177,0
20,1,-0.02029620909017746,-0.006858092166615665,4
20,2,0.007374239770116033,0.04755175843844635,8
20,3,0.026273236087661033,-0.005244554669516789,3
20,4,-0.007654174207873738,-0.010515840659614986,9
20,5,0.019053257971768062,-0.015693172417407687,3
20,6,0.02036541121583111,-0.022008946182659753,3
20,7,0.06963236389921966,0.02738848874810169,8
20,8,-0.01060034555887656,-0.004644063381126669,9
20,9,-0.011775844546470807,-0.019653086607852557,0
20,10,0.02130752371679975,0.028512039084162506,8
20,11,0.0209059347461557,-0.015041223384105254,3
20,12,0.013558288704619585,-0.019452337737555815,3
20,13,0.01563300498892807,0.01513535264520263,8
20,14,0.019880493570303498,0.01675291887699982,8
20,15,-0.0071716687267077694,0.004574982894733742,9
20,16,0.022705067708954765,-0.0346418539036632,3
20,17,0.019118582266537686,0.0013338753879783812,3
20,18,0.016575645586162622,-0.004559192683782855,3
20,19,-0.007392620293831208,0.0017052392505701763,9
40,0,0.004182299015700352,-0.002642693026953572,9
40,1,-0.02729968604826906,-0.00974515767865209,4
40,2,-0.0025155613119463753,0.03759188599940859,7
40,3,-0.010275519697348835,0.0009108899790057825,9
40,4,-0.024124914323486454,-0.023318680480299617,4
40,5,-0.009809968428611418,0.006102731383287068,2
40,6,0.021282420518127062,-0.007102406288715889,3
40,7,-0.0018904759940222343,-0.0190061542710772,0
40,8,-0.007766798219836497,0.006686262035480832,2
40,9,0.021598009678019836,-0.008779597888896463,3
40,10,0.022846644658028662,0.011064797380201571,8
40,11,0.0018448178214618975,0.013317656173767994,2
40,12,-0.004093065089816859,-0.031918034310567375,0
40,13,0.0011550021952218092,-0.022386943235746835,0
40,14,-0.006885026609629227,0.013092829845792762,2
40,15,0.014422642028142498,-0.024113366470497843,3
40,16,0.02112305648499264,0.025304132650975267,8
40,17,-0.016583607275444962,0.05276716540198772,7
40,18,-0.013986764655914672,0.0025395882997358158,9
40,19,0.0006664892970085878,-0.01800568412476793,0
40,20,0.0004509363612564454,-0.034170714225692574,0
40,21,-0.0008994365406586451,0.017275341535534908,2
40,22,-0.01149988375774903,-0.006557303093692411,9
40,23,0.020134446341038913,-0.008127729092358576,3
40,24,-0.0063319387973785075,-0.0037188811996573166,9
40,25,-0.0020421605737943227,-0.02288376274691725,0
40,26,0.0007558207583350835,-0.002587443382744786,9
40,27,0.15050928191441074,0.004075618314588113,5
40,28,-0.008078941202250507,0.015323738783881262,2
40,29,-0.0062699014529639,0.036644799890986235,7
40,30,-0.008270742837491409,-0.01027573383914316,9
40,31,0.008209899452824628,-0.022879807966733178,0
40,32,-0.0022263653378199206,-0.005915838170354984,9
40,33,0.029816432322126607,0.047014390823114226,8
40,34,-0.012691567522048757,0.009199029390040763,2
40,35,-0.009093289552821546,0.007720310951333403,2
40,36,-0.008221243119304106,-0.022391616217805818,0
40,37,-0.004516949878740814,-0.017140150563677854,0
40,38,0.02238777958529475,0.011559688890769533,8
40,39,0.016556111717021458,-0.018559553529694343,3
60,0,-0.04734992438099604,-0.05130084909455316,6
60,1,-0.008469169166178573,0.007777986557605961,2
60,2,-0.003218346206330997,0.015122923964897941,2
60,3,-0.0021294384274833577,0.0030927449836736097,9
60,4,-0.03917173828066366,-0.014083856608734523,4
60,5,-0.019580873731626303,-0.024510163036391294,0
60,6,-0.0005825088108338216,-0.004685870109683624,9
60,7,0.007939043137922996,0.011600168833189702,2
60,8,-0.014133508681531135,-0.010338733849200086,9
60,9,-0.0022178220623619667,-0.029281170897390445,0
60,10,-0.004299082759561077,0.0030916844346269463,9
60,11,-0.005523338009112984,0.049153485664694706,7
60,12,0.002249762567419269,-0.016946765235486,0
60,13,-0.004051450727772279,-0.004759845984811321,9
60,14,0.0012679937061935796,-0.0015107970846099114,9
60,15,-0.0030832039362691543,0.01501923457864569,2
60,16,-0.006311487748006107,-0.013940497937489658,0
60,17,-0.013798148332607786,-0.007076107533143839,9
60,18,0.0013219294050156258,0.022569014507281666,2
60,19,-0.011886143052100695,0.0036394311735505353,9
60,20,0.022784191587199406,0.03309870953943477,8
60,21,-0.0027628588363233786,-0.006598093483827447,9
60,22,-0.005237598393142514,-0.016642311705054317,0
60,23,-0.00910801971096656,0.024898692413720395,2
60,24,0.02045166742931419,-0.004793698580460328,3
60,25,5.477098929262746e-05,-0.0030795157399527364,9
60,26,-0.01967895427304591,0.011338081294250261,2
60,27,-0.013788292442412708,0.003525577805340103,9
60,28,-0.01282417851401784,0.0009038914709140619,9
60,29,-0.006688624416157698,-0.002854196429354364,9
60,30,-0.004040081285838526,-0.006424917117036754,9
60,31,-9.46427155979416e-05,-0.020309429733816532,0
60,32,-0.012340172197502369,-0.0022020116002131225,9
60,33,-0.007038011888350869,-0.0204045643895392,0
60,34,-0.017645505500592053,-0.017969343179587125,0
60,35,-0.004881043076744627,-0.004608454793683417,9
60,36,-0.005036394492486935,-0.0007359136023138465,9
60,37,-0.010725035976811787,0.014714176759096684,2
60,38,-0.0045377239123468235,-0.020777464040812564,0
60,39,-0.0038374427624763598,-0.00492935577646355,9
60,40,-0.004166886370788983,-0.013963630413962091,0
60,41,-0.007622178624128066,0.03718963672899525,7
60,42,-0.01519083652229605,-0.004353084758323723,9
60,43,0.010960815321357885,0.03675671467516398,8
60,44,-0.004898576482148477,0.0003659538043895776,9
60,45,-0.03333346943427497,-0.009029290131738222,4
60,46,-0.0005079513348426221,-0.00028349476420515724,9
60,47,-0.00626901680598504,-0.009039715852710734,9
60,48,0.368699940525843,-0.008632404208637265,1
60,49,-0.006393881839388667,0.03319466700560668,7
60,50,0.010244789925702812,-0.026520835080898923,3
60,51,-0.00635235744918474,0.001986756300862491,9
60,52,0.0005411612383445048,-0.020060256236303666,0
60,53,-0.005943473828832814,-0.012576464324560197,0
60,54,-0.009761421131042914,0.0010574489136735829,9
60,55,-0.001945569133345057,0.014519381016927761,2
60,56,-0.020374795882283293,0.04125048458814705,7
60,57,0.006700769627765445,0.02342310488663441,8
60,58,0.00017044416281720634,-0.01043996333332416,9
60,59,-0.002580724429984138,-0.018789523323889976,0
80,0,-0.008069333500633208,-0.0017714310822116992,9
80,1,-0.0011255861449265847,-0.01956815642489644,0
80,2,0.0011369350540476957,-0.0014601335370513322,9
80,3,-0.0051682446142965344,-0.005602790789708168,9
80,4,0.013852275768308194,0.03138536268848087,8
80,5,-0.019006003117427287,0.028917805961822477,7
80,6,-0.008324871559852202,-0.0006527405273446375,9
80,7,-0.004959812702010931,0.004678016068615666,9
80,8,-0.0043375078107383575,-0.01292694290627165,0
80,9,-0.021429873266189038,0.002866554865126092,4
80,10,-0.01677640851639824,0.05376202296833168,7
80,11,-0.019068454533125598,0.010039469401459809,2
80,12,-0.0767790740478865,-0.08298318920191756,6
80,13,-0.014801844862325018,-0.0006706451322115076,9
80,14,-0.005284517027789301,-0.0054127133457826234,9
80,15,-0.021522262296982154,-0.0008846182438721847,4
80,16,-0.00943538887551285,-0.019232472905186856,0
80,17,-0.009640161692106347,0.010851398922403364,2
80,18,0.009427903282054747,-0.02646979706411278,0
80,19,-0.0032019729509460337,-0.00970759031538499,9
80,20,-0.010536936985444287,-0.03515095663736993,0
80,21,-0.05330374952593429,0.07159238743616304,7
80,22,0.007843451999786526,0.03504668926583582,8
80,23,-0.003410323831143841,0.0013518842895642485,9
80,24,0.0008439118382339615,-0.014242502486533783,0
80,25,-0.022375996955390706,0.048385557769588396,7
80,26,-0.006464734424189153,0.011511139626130588,2
80,27,-0.006620179609132236,-0.009987948373263982,9
80,28,-0.003273646092675471,0.00285695873371205,9
80,29,-0.004564926183058986,-0.007768284820723497,9
80,30,-0.009918475095788243,0.016110680123846016,2
80,31,-0.0002714122663949651,0.00578579312663669,9
80,32,-0.0040834870203978356,0.01795244304272123,2
80,33,-0.003338449360079977,-0.019342025176405438,0
80,34,-0.006104519765226952,-0.004830361715223139,9
80,35,-0.012667016382556929,0.00391947793770352,9
80,36,-0.02400020169425739,0.03752898059249708,7
80,37,-0.012017809394097788,-0.003112696658068853,9
80,38,-0.007622832086529342,-0.017776396096473437,0
80,39,-0.034573468009039765,-0.019563031737015756,4
80,40,-0.009001258531611673,0.04459684265258786,7
80,41,-0.006713423058967415,-0.00047190845100278345,9
80,42,-0.02014488283849774,0.006679996020390043,2
80,43,-0.018449894314052834,0.022763599007234132,2
80,44,0.0009473278014043504,-0.023970414411183548,0
80,45,-0.0023833639497368494,-0.014426770913684647,0
80,46,-0.0004157124410337837,-0.007549410996203225,9
80,47,-0.04074783772264682,-0.013696267586661606,4
80,48,-0.006621296752032018,-0.015251016259911696,0
80,49,-0.0016214854964334959,-0.002611775226124839,9
80,50,-0.05515320032819684,-0.006244668279485513,4
80,51,-0.020732061706125567,-0.0055616258955868535,4
80,52,-0.03431505866530236,-0.010396035137079852,4
80,53,-0.01120872204048136,0.0213410097700998,2
80,54,-0.0029520149021160513,-0.007388162452846755,9
80,55,-0.002589720517438357,-0.031761904755195115,0
80,56,-0.013002356070251854,-0.0026509048205779783,9
80,57,-0.02467291965468653,-0.0059576372403210565,4
80,58,-0.007174115183352752,-0.0028516662173617953,9
80,59,-0.018953791769426617,-0.04259430521212964,0
80,60,-0.025353005117625744,0.03331112956900778,7
80,61,0.4505781256871797,-0.014057506847573148,1
80,62,-1.5053622670536625e-05,-0.006248297305567347,9
80,63,-0.004016022901853035,-0.012242103193989946,0
80,64,-0.016064127180283716,-0.0014351909494690067,9
80,65,-0.0020811126746338835,-0.0030791969248981786,9
80,66,-0.005686135949460791,-0.01051338581747217,9
80,67,-0.008117893948842964,0.008125406671639098,2
80,68,-0.00604756819300883,-0.017353632160649685,0
80,69,-0.0029705003339828874,0.020727364445793855,2
80,70,-0.01316299422509928,0.004286336467431017,9
80,71,-0.003718320840833296,-0.006896696565440551,9
80,72,-0.006004861624148855,-0.00038473745830943425,9
80,73,-0.002149411211101497,0.026532834040813816,2
80,74,-0.008845293656462985,-0.0034808391821095574,9
80,75,-0.010187330483591862,0.005864020879413741,2
80,76,-0.005925010623585253,-0.002753777805543249,9
80,77,0.016373400656910963,0.02219604480866836,8
80,78,0.00042555475159773904,0.005838919353625275,9
80,79,0.016661075830014187,0.06474408911793211,8
